lotsizesquarefeet,calculatedfinishedsquarefeet,bedroomcnt,bathroomcnt,regionidzip,garagecarcnt,poolcnt,AgeofHouse,buildingclasstypeid
-0.014184654886763268,-0.014184654886763268,5.0,7.0,18,0.0,1.0,69.0,0.0
-0.013822220840913927,-0.013822220840913927,4.0,5.0,3,0.0,1.0,17.0,0.0
-0.009780937786140005,-0.009780937786140005,8.0,8.0,3,0.0,1.0,14.0,0.0
-0.004683910175646631,-0.004683910175646631,5.0,6.0,9,3.0,1.0,4.0,0.0
-0.004141215397231062,-0.004141215397231062,4.0,3.5,8,2.0,1.0,59.0,0.0
-0.0048393073588933804,-0.0048393073588933804,3.0,3.5,8,2.0,0.0,58.0,0.0
-0.01148552535006204,-0.01148552535006204,5.0,8.0,11,5.0,1.0,21.0,0.0
-0.014551870384404817,-0.014551870384404817,6.0,7.0,11,6.0,1.0,16.0,0.0
-0.01363717865655549,-0.01363717865655549,5.0,6.0,16,3.0,1.0,15.0,0.0
-0.008675944276960813,-0.008675944276960813,4.0,7.0,11,11.0,1.0,8.0,0.0
-0.004222978222877812,-0.004222978222877812,5.0,6.0,22,9.0,1.0,8.0,0.0
-0.13975275112782495,-0.13975275112782495,4.0,8.0,23,0.0,0.0,55.0,0.0
-0.06197144038844515,-0.06197144038844515,7.0,13.0,0,0.0,1.0,5.0,0.0
-0.0006713158316259566,-0.0006713158316259566,3.0,5.0,21,0.0,0.0,10.0,0.0
-0.0012436556111532144,-0.0012436556111532144,3.0,4.0,24,0.0,0.0,53.0,0.0
-0.0079319503780933,-0.0079319503780933,4.0,4.0,1,0.0,1.0,91.0,0.0
-0.017196491370674877,-0.017196491370674877,3.0,3.0,1,0.0,1.0,62.0,0.0
-0.015617177843708686,-0.015617177843708686,6.0,9.0,1,0.0,1.0,60.0,0.0
-0.032613804529469284,-0.032613804529469284,7.0,7.0,2,0.0,1.0,90.0,0.0
-0.00903550945173483,-0.00903550945173483,4.0,7.0,1,0.0,1.0,52.0,0.0
-0.018043764628254078,-0.018043764628254078,4.0,6.0,1,0.0,1.0,59.0,0.0
-0.012554657970799674,-0.012554657970799674,6.0,9.0,18,0.0,1.0,79.0,0.0
-0.002331435893880459,-0.002331435893880459,4.0,4.0,4,0.0,0.0,27.0,0.0
-0.00542503520343882,-0.00542503520343882,4.0,4.0,4,0.0,0.0,31.0,0.0
-0.01777791590860733,-0.01777791590860733,2.0,3.0,4,0.0,1.0,44.0,0.0
-0.0064334433864154175,-0.0064334433864154175,5.0,8.0,15,0.0,0.0,5.0,0.0
-0.048815753927364966,-0.048815753927364966,4.0,3.0,25,0.0,1.0,62.0,0.0
-0.018312004073796927,-0.018312004073796927,7.0,10.0,26,0.0,1.0,17.0,0.0
-0.10407929559652197,-0.10407929559652197,6.0,5.0,26,0.0,1.0,40.0,0.0
-0.0023964636382544833,-0.0023964636382544833,5.0,5.5,6,3.0,0.0,23.0,0.0
-0.0028693492205038216,-0.0028693492205038216,4.0,3.5,6,2.0,1.0,58.0,0.0
-0.0030950337450960236,-0.0030950337450960236,4.0,3.0,7,2.0,0.0,60.0,0.0
-0.0010021922956467272,-0.0010021922956467272,2.0,2.5,8,2.0,0.0,68.0,0.0
-0.0075647348804517515,-0.0075647348804517515,5.0,7.0,6,2.0,1.0,13.0,0.0
-0.012394001190581497,-0.012394001190581497,8.0,9.5,11,11.0,1.0,17.0,0.0
-0.027571285469407077,-0.027571285469407077,7.0,7.5,12,4.0,1.0,13.0,0.0
-0.0030615635825505696,-0.0030615635825505696,5.0,5.5,8,3.0,0.0,16.0,0.0
-0.001978564751615533,-0.001978564751615533,3.0,3.0,27,0.0,1.0,89.0,0.0
-0.040835989031349586,-0.040835989031349586,8.0,10.0,1,0.0,1.0,80.0,0.0
-0.01910094361951119,-0.01910094361951119,5.0,5.0,1,0.0,1.0,65.0,0.0
-0.016421896180337237,-0.016421896180337237,5.0,5.0,2,0.0,0.0,81.0,0.0
-0.01851330319424887,-0.01851330319424887,6.0,7.0,2,0.0,1.0,80.0,0.0
-0.03473390025413416,-0.03473390025413416,5.0,8.0,1,0.0,1.0,32.0,0.0
-0.025871001212098028,-0.025871001212098028,5.0,5.0,18,0.0,1.0,4.0,0.0
-0.007898002070368625,-0.007898002070368625,6.0,10.0,3,0.0,1.0,10.0,0.0
-0.007356263582311498,-0.007356263582311498,4.0,5.0,3,0.0,1.0,62.0,0.0
-0.024241004296134436,-0.024241004296134436,6.0,6.0,18,0.0,1.0,29.0,0.0
-0.016958853216602156,-0.016958853216602156,6.0,7.0,28,0.0,1.0,92.0,0.0
-0.022577537217625388,-0.022577537217625388,5.0,8.0,26,0.0,1.0,23.0,0.0
-0.0011671523824778917,-0.0011671523824778917,4.0,5.5,19,2.0,0.0,28.0,0.0
-0.00225110750377137,-0.00225110750377137,2.0,2.0,7,0.0,0.0,69.0,0.0
-0.009264540992581578,-0.009264540992581578,6.0,7.0,8,3.0,0.0,22.0,0.0
-0.0009663314072051697,-0.0009663314072051697,4.0,5.5,9,3.0,0.0,19.0,0.0
-0.009583941972301049,-0.009583941972301049,5.0,7.5,11,14.0,1.0,19.0,0.0
-0.006868077354327094,-0.006868077354327094,4.0,8.0,8,3.0,1.0,11.0,0.0
-0.000918516889283093,-0.000918516889283093,5.0,4.5,10,2.0,0.0,14.0,0.0
-0.01606280915074244,-0.01606280915074244,8.0,9.0,0,0.0,1.0,11.0,0.0
-0.005765952716223227,-0.005765952716223227,6.0,7.0,18,0.0,1.0,4.0,0.0
-0.006667256379054372,-0.006667256379054372,6.0,7.0,1,0.0,1.0,29.0,0.0
-0.016115883265635945,-0.016115883265635945,2.0,3.0,2,0.0,1.0,67.0,0.0
-0.008751013070098474,-0.008751013070098474,3.0,5.0,1,0.0,1.0,41.0,0.0
-0.011003555009407506,-0.011003555009407506,7.0,5.0,18,0.0,1.0,92.0,0.0
-0.020392891893765704,-0.020392891893765704,3.0,5.0,3,0.0,1.0,62.0,0.0
-0.004429058795121963,-0.004429058795121963,6.0,8.0,3,0.0,1.0,14.0,0.0
-0.005907483689272574,-0.005907483689272574,6.0,8.0,3,0.0,1.0,14.0,0.0
-0.005077901803324543,-0.005077901803324543,4.0,5.0,3,0.0,1.0,67.0,0.0
-0.004316216532825862,-0.004316216532825862,4.0,5.0,4,0.0,0.0,39.0,0.0
-0.01443568110585417,-0.01443568110585417,4.0,10.0,29,0.0,1.0,87.0,0.0
-0.006200586684134904,-0.006200586684134904,4.0,4.0,15,0.0,1.0,79.0,0.0
-0.08331727562439784,-0.08331727562439784,6.0,9.0,30,0.0,1.0,22.0,0.0
-0.0010858677020103614,-0.0010858677020103614,4.0,5.0,10,2.0,0.0,77.0,0.0
-0.000775073335516863,-0.000775073335516863,4.0,5.5,10,2.0,1.0,11.0,0.0
-0.001913058862062288,-0.001913058862062288,4.0,4.5,6,3.0,0.0,18.0,0.0
-0.012645027409672398,-0.012645027409672398,4.0,3.0,8,2.0,0.0,66.0,0.0
-0.0,-0.0,1.0,2.0,8,0.0,0.0,69.0,0.0
-0.007106671798758257,-0.007106671798758257,5.0,7.5,11,9.0,1.0,6.0,0.0
-0.009576291649433518,-0.009576291649433518,6.0,9.0,11,12.0,1.0,9.0,0.0
-0.008533935158732246,-0.008533935158732246,6.0,7.0,18,0.0,1.0,14.0,0.0
-0.005567044321667388,-0.005567044321667388,4.0,4.0,1,0.0,0.0,91.0,0.0
-0.012358140302139938,-0.012358140302139938,7.0,9.0,1,0.0,0.0,13.0,0.0
-0.012017222789355532,-0.012017222789355532,4.0,6.0,1,0.0,1.0,48.0,0.0
-0.015767793575163228,-0.015767793575163228,4.0,6.0,2,0.0,0.0,88.0,0.0
-0.024803303026898055,-0.024803303026898055,3.0,5.0,2,0.0,1.0,66.0,0.0
-0.00803762046270109,-0.00803762046270109,6.0,7.0,18,0.0,0.0,22.0,0.0
-0.02677565189118372,-0.02677565189118372,8.0,15.0,3,0.0,1.0,65.0,0.0
-0.0028263161543739526,-0.0028263161543739526,2.0,1.0,4,0.0,0.0,71.0,0.0
-0.04225512392327682,-0.04225512392327682,4.0,5.0,4,0.0,1.0,73.0,0.0
-0.021708747426981253,-0.021708747426981253,4.0,4.0,4,0.0,1.0,42.0,0.0
-0.029427445055142092,-0.029427445055142092,3.0,3.0,31,0.0,1.0,95.0,0.0
-0.06520943954212817,-0.06520943954212817,5.0,11.0,26,0.0,1.0,11.0,0.0
-0.0010777392339636083,-0.0010777392339636083,5.0,3.0,10,2.0,0.0,81.0,0.0
-0.0019226217656467034,-0.0019226217656467034,5.0,5.5,9,2.0,0.0,26.0,0.0
-0.0035483153749973104,-0.0035483153749973104,5.0,6.5,22,8.0,1.0,11.0,0.0
-0.0314767752932823,-0.0314767752932823,4.0,5.0,25,0.0,1.0,10.0,0.0
-0.003931309663553145,-0.003931309663553145,6.0,6.5,22,4.0,1.0,8.0,0.0
-0.011120700578316595,-0.011120700578316595,5.0,6.0,1,0.0,1.0,29.0,0.0
-0.007731607547999799,-0.007731607547999799,6.0,8.0,1,0.0,1.0,91.0,0.0
-0.045648998405385825,-0.045648998405385825,7.0,10.0,1,0.0,1.0,19.0,0.0
-0.005230908260675189,-0.005230908260675189,5.0,5.0,3,0.0,1.0,6.0,0.0
-0.03591970029860166,-0.03591970029860166,6.0,7.0,14,0.0,1.0,18.0,0.0
-0.0033546665774128997,-0.0033546665774128997,2.0,3.5,10,0.0,0.0,44.0,0.0
-0.004165122656192099,-0.004165122656192099,3.0,4.0,8,3.0,1.0,27.0,0.0
-0.003717100623262241,-0.003717100623262241,3.0,2.0,4,0.0,0.0,62.0,0.0
-0.028474979858134325,-0.028474979858134325,6.0,9.0,2,0.0,1.0,14.0,0.0
-0.007612549398373828,-0.007612549398373828,5.0,6.5,11,3.0,1.0,9.0,0.0
-0.05901459060014392,-0.05901459060014392,4.0,3.0,25,0.0,1.0,88.0,0.0
-0.0009137354374908854,-0.0009137354374908854,4.0,3.0,21,0.0,0.0,77.0,0.0
-0.0009170824537454307,-0.0009170824537454307,6.0,8.0,21,0.0,0.0,12.0,0.0
-0.008397663782654328,-0.008397663782654328,5.0,10.0,1,0.0,1.0,26.0,0.0
-0.019196094510176124,-0.019196094510176124,4.0,8.0,1,0.0,0.0,67.0,0.0
-0.027297786426892796,-0.027297786426892796,6.0,6.0,13,0.0,1.0,3.0,0.0
-0.018125049308721608,-0.018125049308721608,5.0,6.0,13,0.0,1.0,35.0,0.0
-0.054558277529806375,-0.054558277529806375,4.0,5.0,2,0.0,1.0,49.0,0.0
-0.012135802793802282,-0.012135802793802282,4.0,5.0,2,0.0,0.0,14.0,0.0
-0.011066192027885427,-0.011066192027885427,3.0,5.0,1,0.0,1.0,46.0,0.0
-0.011107312513298414,-0.011107312513298414,1.0,4.0,18,0.0,1.0,75.0,0.0
-0.1628548136070555,-0.1628548136070555,6.0,7.0,4,0.0,0.0,28.0,0.0
-0.01896132522717873,-0.01896132522717873,5.0,7.0,18,0.0,1.0,7.0,0.0
-0.017937616398467065,-0.017937616398467065,8.0,6.0,32,0.0,1.0,92.0,0.0
-0.006082484824867375,-0.006082484824867375,5.0,6.0,9,5.0,1.0,13.0,0.0
-0.0032901169782180964,-0.0032901169782180964,4.0,3.5,33,4.0,0.0,26.0,0.0
-0.0003208354152571345,-0.0003208354152571345,4.0,4.0,34,2.0,0.0,11.0,0.0
-0.002993666967101221,-0.002993666967101221,4.0,4.0,35,1.0,1.0,79.0,0.0
-0.009788109963828317,-0.009788109963828317,5.0,9.0,11,14.0,1.0,12.0,0.0
-0.0022573233911012403,-0.0022573233911012403,5.0,4.5,6,2.0,0.0,26.0,0.0
-0.14295823640932095,-0.14295823640932095,4.0,6.5,36,15.0,1.0,10.0,0.0
-0.01790414623592161,-0.01790414623592161,7.0,9.5,12,4.0,1.0,16.0,0.0
-0.0008372322088155626,-0.0008372322088155626,3.0,3.0,21,0.0,0.0,86.0,0.0
-0.0012627814183220451,-0.0012627814183220451,4.0,4.0,24,0.0,0.0,104.0,0.0
-0.005628246904607646,-0.005628246904607646,5.0,5.0,1,0.0,1.0,80.0,0.0
-0.02512270400661753,-0.02512270400661753,7.0,11.0,2,0.0,1.0,78.0,0.0
-0.009210510587329631,-0.009210510587329631,4.0,6.0,1,0.0,1.0,55.0,0.0
-0.00948448777502313,-0.00948448777502313,5.0,8.0,18,0.0,1.0,32.0,0.0
-0.006521422099392039,-0.006521422099392039,4.0,6.0,3,0.0,1.0,31.0,0.0
-0.0029209888998596644,-0.0029209888998596644,3.0,4.0,4,0.0,0.0,41.0,0.0
-0.10222026713971163,-0.10222026713971163,4.0,6.0,4,0.0,1.0,68.0,0.0
-0.008220271921163423,-0.008220271921163423,8.0,9.0,4,0.0,0.0,26.0,0.0
-0.007766990291262136,-0.007766990291262136,6.0,6.0,4,0.0,1.0,4.0,0.0
-0.01626076125493984,-0.01626076125493984,5.0,7.0,29,0.0,1.0,81.0,0.0
-0.02022028148406701,-0.02022028148406701,3.0,6.0,15,0.0,1.0,33.0,0.0
-0.010869196214046471,-0.010869196214046471,7.0,3.0,31,0.0,1.0,102.0,0.0
-0.0010275339901454278,-0.0010275339901454278,4.0,4.0,10,2.0,0.0,92.0,0.0
-0.00197043628356878,-0.00197043628356878,4.0,4.5,6,2.0,0.0,15.0,0.0
-0.0013966620685038598,-0.0013966620685038598,6.0,7.0,8,4.0,0.0,27.0,0.0
-0.01900101127705405,-0.01900101127705405,4.0,4.0,8,6.0,1.0,88.0,0.0
-0.02055211423844622,-0.02055211423844622,5.0,8.5,8,4.0,1.0,12.0,0.0
-0.0012211827877298385,-0.0012211827877298385,4.0,3.5,7,1.0,0.0,5.0,0.0
-0.012971600567080183,-0.012971600567080183,4.0,7.0,1,0.0,1.0,27.0,0.0
-0.0017873066799272263,-0.0017873066799272263,4.0,7.0,24,0.0,0.0,5.0,0.0
-0.02078401465036829,-0.02078401465036829,4.0,6.0,1,0.0,1.0,67.0,0.0
-0.008950877755012755,-0.008950877755012755,4.0,6.0,1,0.0,1.0,47.0,0.0
-0.024448519303916248,-0.024448519303916248,7.0,9.0,1,0.0,1.0,13.0,0.0
-0.042043783754061245,-0.042043783754061245,9.0,8.0,1,0.0,1.0,90.0,0.0
-0.011762371408830864,-0.011762371408830864,6.0,9.0,1,0.0,1.0,91.0,0.0
-0.01232180126851916,-0.01232180126851916,4.0,4.0,1,0.0,1.0,47.0,0.0
-0.021391737173157885,-0.021391737173157885,4.0,7.0,15,0.0,1.0,64.0,0.0
-0.01896801925968782,-0.01896801925968782,4.0,5.0,18,0.0,1.0,84.0,0.0
-0.021433813948929313,-0.021433813948929313,6.0,7.0,27,0.0,1.0,45.0,0.0
-0.005287329391823239,-0.005287329391823239,4.0,4.0,3,0.0,1.0,70.0,0.0
-0.01584525309419699,-0.01584525309419699,6.0,6.0,3,0.0,1.0,20.0,0.0
-0.005398259073402458,-0.005398259073402458,4.0,5.0,4,0.0,1.0,43.0,0.0
-0.02637640066653438,-0.02637640066653438,5.0,7.0,14,0.0,1.0,80.0,0.0
-0.005695187229698554,-0.005695187229698554,3.0,4.0,37,0.0,0.0,9.0,0.0
-0.005365267056036224,-0.005365267056036224,4.0,6.5,7,2.0,1.0,23.0,0.0
-0.01923147725343846,-0.01923147725343846,3.0,6.5,8,2.0,1.0,32.0,0.0
-0.010184492317402333,-0.010184492317402333,6.0,5.0,27,0.0,0.0,12.0,0.0
-0.008231747405464722,-0.008231747405464722,6.0,8.5,11,12.0,1.0,5.0,0.0
-0.0008329289022025758,-0.0008329289022025758,4.0,6.0,21,0.0,0.0,24.0,0.0
-0.007086111556051764,-0.007086111556051764,7.0,5.0,1,0.0,1.0,91.0,0.0
-0.007372520518405003,-0.007372520518405003,1.0,1.0,18,0.0,1.0,4.0,0.0
-0.0024571880760155206,-0.0024571880760155206,4.0,2.0,4,0.0,0.0,62.0,0.0
-0.017376273958061888,-0.017376273958061888,8.0,12.0,4,0.0,1.0,15.0,0.0
-0.0038543282896986012,-0.0038543282896986012,4.0,5.0,4,0.0,1.0,24.0,0.0
-0.022680338431157854,-0.022680338431157854,4.0,3.0,4,0.0,0.0,68.0,0.0
-0.024731581250014942,-0.024731581250014942,7.0,12.0,15,0.0,1.0,95.0,0.0
-0.041147261543022305,-0.041147261543022305,6.0,7.0,31,0.0,1.0,100.0,0.0
-0.01783338074939694,-0.01783338074939694,5.0,9.0,26,0.0,1.0,15.0,0.0
-0.004899075506295977,-0.004899075506295977,4.0,6.0,6,3.0,1.0,11.0,0.0
-0.005939041271101144,-0.005939041271101144,4.0,6.5,8,4.0,1.0,18.0,0.0
-0.0006220668781662176,-0.0006220668781662176,3.0,3.0,9,2.0,0.0,13.0,0.0
-0.0006650999442960866,-0.0006650999442960866,4.0,3.0,9,2.0,0.0,17.0,0.0
-0.008425396203049131,-0.008425396203049131,4.0,5.5,22,2.0,0.0,6.0,0.0
-0.011949804319085404,-0.011949804319085404,6.0,7.0,8,3.0,0.0,11.0,0.0
-0.008976219449511455,-0.008976219449511455,5.0,5.5,11,3.0,1.0,14.0,0.0
-0.006992873246103715,-0.006992873246103715,4.0,7.5,11,4.0,1.0,10.0,0.0
-0.0009663314072051697,-0.0009663314072051697,6.0,8.0,34,3.0,0.0,12.0,0.0
-0.009321440268908849,-0.009321440268908849,4.0,4.0,27,0.0,1.0,70.0,0.0
-0.013735676563474969,-0.013735676563474969,4.0,7.0,1,0.0,1.0,30.0,0.0
-0.019675674124934553,-0.019675674124934553,7.0,11.0,1,0.0,1.0,6.0,0.0
-0.008906888398524444,-0.008906888398524444,7.0,8.0,1,0.0,1.0,31.0,0.0
-0.07833069955030446,-0.07833069955030446,5.0,7.0,1,0.0,1.0,91.0,0.0
-0.0403042915920561,-0.0403042915920561,4.0,6.0,2,0.0,1.0,17.0,0.0
-0.01722326750071124,-0.01722326750071124,6.0,8.0,18,0.0,1.0,18.0,0.0
-0.041945285847141765,-0.041945285847141765,5.0,8.0,1,0.0,1.0,33.0,0.0
-0.057963149351037455,-0.057963149351037455,4.0,8.0,1,0.0,1.0,20.0,0.0
-0.14526098359244818,-0.14526098359244818,4.0,10.0,1,0.0,1.0,15.0,0.0
-0.011310046069288019,-0.011310046069288019,4.0,6.0,18,0.0,1.0,55.0,0.0
-0.009175605989246514,-0.009175605989246514,5.0,7.0,18,0.0,1.0,93.0,0.0
-0.005935694254846599,-0.005935694254846599,6.0,8.0,3,0.0,1.0,9.0,0.0
-0.01252644740522565,-0.01252644740522565,5.0,6.0,15,0.0,1.0,45.0,0.0
-0.09868247095865718,-0.09868247095865718,4.0,6.0,26,0.0,1.0,8.0,0.0
-0.00622305950755828,-0.00622305950755828,4.0,5.5,10,0.0,1.0,45.0,0.0
-0.0036855430414336706,-0.0036855430414336706,4.0,5.5,7,5.0,0.0,29.0,0.0
-0.0028033651857713557,-0.0028033651857713557,5.0,7.0,8,5.0,1.0,9.0,0.0
-0.007135360509511503,-0.007135360509511503,5.0,6.0,11,7.0,1.0,18.0,0.0
-0.0041211332997037895,-0.0041211332997037895,6.0,12.0,15,0.0,1.0,68.0,0.0
-0.013512860909958091,-0.013512860909958091,5.0,10.0,2,0.0,1.0,11.0,0.0
-0.061618091101001,-0.061618091101001,5.0,7.0,1,0.0,1.0,13.0,0.0
